player_name,MLBAMID,Season,BIP,xHR,xBACON,xSLGCON,EV81,EV96,best_speed,hard_hit_rate
"Judge, Aaron",592450,2017,326,52.76706408372759,0.45212266861706923,0.9479266800635537,105.129,115.164,101.1832786885246,0.33934426229508197
"Cabrera, Miguel",408234,2016,466,52.1859749707595,0.4276868754202428,0.780558501274903,103.44000000000001,109.3,100.75880758807588,0.36707152496626183
"Davis, Khris",501981,2018,385,49.56157945689628,0.3599036500039329,0.7595463930343553,101.4,108.216,98.34458204334365,0.31839258114374036
"Stanton, Giancarlo",519317,2017,425,49.37463956225292,0.3850280976489953,0.7422831354399109,105.89800000000001,114.868,101.11901840490798,0.3323216995447648
"Soler, Jorge",624585,2019,410,48.907458224439495,0.388321256369676,0.7563830656861883,103.3,111.4,100.14108761329305,0.3509036144578313
"Martinez, J.D.",502110,2018,409,48.00584206397055,0.4312406780538639,0.7994996899373307,102.2,109.196,98.98291316526611,0.3319327731092437
"Cruz, Nelson",443558,2016,421,47.81401494450541,0.38901082929881897,0.7420145797078049,104.6,111.828,101.39910179640718,0.375186846038864
"Martinez, J.D.",502110,2017,303,47.40448832990368,0.42346985295696166,0.9066890092638634,101.4,109.4,98.18609022556392,0.3052434456928839
"Davis, Khris",501981,2016,380,46.62367261262294,0.3727356269471592,0.7518943667637779,102.071,108.272,99.2070945945946,0.35135135135135137
"Freeman, Freddie",518692,2016,409,46.57994951595164,0.41074375959038095,0.7730559804817252,99.96100000000001,107.1,97.93020527859238,0.3181818181818182
"Trumbo, Mark",444432,2016,428,45.401545258331325,0.3784551233826771,0.7060085706895626,104.1,112,99.98134110787171,0.32848837209302323
"Encarnación, Edwin",429665,2016,465,43.47142561172741,0.350985221319171,0.6427163729247963,101.2,108.832,98.47103064066853,0.3203342618384401
"Gallo, Joey",608336,2018,287,42.87748144041131,0.39580822642872315,0.858000209584679,103.9,112.484,99.62264150943396,0.3181818181818182
"Acuña Jr., Ronald",660670,2019,435,42.72583127636176,0.39145315738914044,0.6999529863221211,100.69800000000001,110.368,97.2897435897436,0.28974358974358977
"Schwarber, Kyle",656941,2019,375,42.392464528822956,0.39458126363282403,0.7488154701425898,103.1,111.312,100.70257234726688,0.3739967897271268
"Cruz, Nelson",443558,2019,324,42.101545833663856,0.419939048001169,0.8211595522971421,104.016,112.05599999999998,101.35278810408921,0.3687150837988827
"Alonso, Pete",624413,2019,405,41.86916103707285,0.37117636155992473,0.6916717710051964,103.73400000000001,111.7,99.05658263305322,0.3062937062937063
"Trout, Mike",545361,2019,347,41.75191741412068,0.4004217021654411,0.7739267339314777,102.062,111,97.928,0.29519071310116085
"Harper, Bryce",547180,2019,394,41.036529031248755,0.39971375773332274,0.7265497605332031,101.29,111.1,98.82376811594203,0.31259044862518087
"Longoria, Evan",446334,2016,467,40.894629584285184,0.35449475288137844,0.6314488177224199,100.9,106.348,98.19411764705882,0.33053221288515405
"Bryant, Kris",592178,2016,444,40.83742221441646,0.36074625418745904,0.6476859242399061,99.938,107.4,97.15114285714286,0.28469241773962806
"Betts, Mookie",605141,2018,404,40.23350953884875,0.39329257825421776,0.7046067081087705,100.94500000000001,106.23999999999998,99.23664596273292,0.37925696594427244
"Goldschmidt, Paul",502671,2018,409,40.16291222035678,0.400706642485522,0.710771119889118,100.6,107.6,96.9545945945946,0.28378378378378377
"Freeman, Freddie",518692,2019,468,40.1123344278241,0.380364384322077,0.6546523568787753,98.81600000000002,106.45599999999999,96.24156479217604,0.27228327228327226
"Goldschmidt, Paul",502671,2019,429,40.07495851153103,0.36650172663317443,0.6603170551087474,100.10799999999999,107.5,97.12935064935066,0.293888166449935
"Carpenter, Matt",572761,2018,391,39.893940006171654,0.3861379773293347,0.7166529073747955,99.23100000000001,104.7,96.86687116564417,0.3098159509202454
"Yelich, Christian",592885,2019,366,39.703856147380634,0.3995688406593431,0.7395110562121104,103.858,111.1,100.40131147540984,0.3442622950819672
"Harper, Bryce",547180,2018,368,39.64992961188138,0.3886394131252967,0.7266161071662534,99.98200000000001,109.1,97.5433234421365,0.2962962962962963
"Davis, Chris",448801,2016,342,39.64533015734126,0.34911566021258544,0.7125799369385349,100.89200000000001,108.172,98.203007518797,0.3151969981238274
"Bellinger, Cody",641355,2019,446,39.43320163790662,0.38317199958271175,0.6702626872009446,100.59200000000001,106.072,97.37011173184358,0.3124128312412831
"Soto, Juan",665742,2019,411,39.37622853585744,0.37160358758991097,0.6757450992304366,101.2,107.964,98.62944606413994,0.3416058394160584
"Ortiz, David",120074,2016,443,39.01963064506516,0.3785340438994241,0.6682642189201902,103.088,109.30799999999999,100.31708074534161,0.3697996918335901
"Donaldson, Josh",518626,2016,453,38.787465095026384,0.36066043652952845,0.6323131865949934,102.8,109.9,100.02701149425287,0.36872309899569583
"Suárez, Eugenio",553993,2019,383,38.607618512220704,0.3804969597419702,0.6920959450034463,100,107.752,96.1829268292683,0.2694063926940639
"Davis, Khris",501981,2017,363,38.369305654318346,0.3779152255241064,0.7118151416570505,102.577,108,99.1038961038961,0.3414239482200647
"Dozier, Brian",572821,2016,463,38.31781369138253,0.3218610446797543,0.5801371756383256,98.7,104.7,96.18092643051772,0.2857142857142857
"Carter, Chris",474892,2016,335,38.288097953403586,0.3729335237516841,0.7304409733380324,103,110.31200000000001,99.871484375,0.349609375
"Stanton, Giancarlo",519317,2018,390,38.27792936382161,0.3949550403134288,0.701257803691938,105.62400000000001,115.79199999999999,102.64957264957265,0.37695590327169276
"Rendon, Anthony",543685,2019,468,37.95498523577942,0.37846718426658493,0.638611350751414,99.88000000000001,104.3,97.19151670951157,0.33034571062740076
